Medication,Time,Indication,Outcome,Product
Atgam,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Ativan,N/A,Anxiety Disorder,Level,Foresters PlanRight
Atripla,N/A,AIDS,No Coverage,Foresters PlanRight
Atrovent/Atrovent HFA Atrovent (Nasal),N/A,COPD Allergies,Graded,Foresters PlanRight
Atrovent/Atrovent HFA Atrovent (Nasal),N/A,COPD Allergies,Level,Foresters PlanRight
Avalide,N/A,Hypertension,Level,Foresters PlanRight
Avalide,N/A,CHF,No Coverage,Foresters PlanRight
Avandia,N/A,Diabetes,Level,Foresters PlanRight
Avandia,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Avapro,N/A,Hypertension,Level,Foresters PlanRight
Avapro,N/A,CHF,No Coverage,Foresters PlanRight
Avastin,3 years,Cancer,Modified,Foresters PlanRight
Avastin,Current Use,Cancer,No Coverage,Foresters PlanRight
Avonex,N/A,Multiple Sclerosis,Level,Foresters PlanRight
Azilect,N/A,Parkinson’s,Graded,Foresters PlanRight
Azasan,N/A,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus,No Coverage,Foresters PlanRight
Azasan,N/A,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus,Level,Foresters PlanRight
Azasan,N/A,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus,Graded,Foresters PlanRight
Azathioprine,N/A,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus,No Coverage,Foresters PlanRight
Azathioprine,N/A,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus,Level,Foresters PlanRight
Azathioprine,N/A,Organ / Tissue Transplant Rheumatoid Arthritis Systemic Lupus,Graded,Foresters PlanRight
Azmacort,N/A,Asthma,Level,Foresters PlanRight
Azmacort,N/A,COPD / Emphysema,Graded,Foresters PlanRight
Azor,N/A,Hypertension,Level,Foresters PlanRight
Azor,N/A,CHF,No Coverage,Foresters PlanRight
Baclofen,N/A,Multiple Sclerosis,Level,Foresters PlanRight
Baraclude,N/A,Liver Disorder,Graded,Foresters PlanRight
Benazepril HCL,N/A,Hypertension,Level,Foresters PlanRight
Benazepril HCL,N/A,CHF,No Coverage,Foresters PlanRight
Benicar,N/A,Hypertension,Level,Foresters PlanRight
Benicar,N/A,CHF,No Coverage,Foresters PlanRight
Benlysta,N/A,Systemic Lupus,Graded,Foresters PlanRight
Benztropine Mesylate,N/A,Parkinson’s,Graded,Foresters PlanRight
Benztropine Mesylate,N/A,Other Use,Level,Foresters PlanRight
Betapace,N/A,Heart Arrhythmia,Level,Foresters PlanRight
Betapace,N/A,CHF,No Coverage,Foresters PlanRight
Betaseron,N/A,Multiple Sclerosis,Level,Foresters PlanRight
Betaxolol HCL,N/A,Hypertension,Level,Foresters PlanRight
Betaxolol HCL,N/A,CHF,No Coverage,Foresters PlanRight
Bexxar,3 years,Cancer,Modified,Foresters PlanRight
Bexxar,Current Use,Cancer,No Coverage,Foresters PlanRight
Bicnu,3 years,Cancer,Modified,Foresters PlanRight
Bicnu,Current Use,Cancer,No Coverage,Foresters PlanRight
BiDil,N/A,CHF,No Coverage,Foresters PlanRight
Bisoprolol Fumarate,N/A,Hypertension,Level,Foresters PlanRight
Bisoprolol Fumarate,N/A,CHF,No Coverage,Foresters PlanRight
Blenoxane,3 years,Cancer,Modified,Foresters PlanRight
Blenoxane,Current Use,Cancer,No Coverage,Foresters PlanRight
Bleomycin Sulphate,3 years,Cancer,Modified,Foresters PlanRight
Bleomycin Sulphate,Current Use,Cancer,No Coverage,Foresters PlanRight
Blocadren,N/A,Hypertension,Level,Foresters PlanRight
Blocadren,N/A,CHF,No Coverage,Foresters PlanRight
Brevibloc,N/A,Hypertension,Level,Foresters PlanRight
Brevibloc,N/A,CHF,No Coverage,Foresters PlanRight
Brovana,N/A,COPD,Graded,Foresters PlanRight
Breo Ellipta,N/A,COPD,Graded,Foresters PlanRight
Bromocriptine Mesylate,N/A,Parkinson’s,Graded,Foresters PlanRight
Bumetadine,N/A,Hypertension,Level,Foresters PlanRight
Bumetadine,N/A,CHF,No Coverage,Foresters PlanRight
Bumex,N/A,Hypertension,Level,Foresters PlanRight
Bumex,N/A,CHF,No Coverage,Foresters PlanRight
Buprenex,2 years,Alcohol / Drugs,Modified,Foresters PlanRight
Busulflex,3 years,Cancer,Modified,Foresters PlanRight
Busulflex,Current Use,Cancer,No Coverage,Foresters PlanRight
Bystolic,N/A,Hypertension,Level,Foresters PlanRight
Bystolic,N/A,CHF,No Coverage,Foresters PlanRight
Calcijex,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Calcijex,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Calcijex,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Calcitriol,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Calcitriol,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Calcitriol,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Calcium Acetate,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Calcium Acetate,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Calcium Acetate,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Calan,N/A,Hypertension,Level,Foresters PlanRight
Campath,3 years,Cancer,Modified,Foresters PlanRight
Campath,Current Use,Cancer,No Coverage,Foresters PlanRight
Campral,2 years,Alcohol / Drugs,Modified,Foresters PlanRight
Camptosar,3 years,Cancer,Modified,Foresters PlanRight
Camptosar,Current Use,Cancer,No Coverage,Foresters PlanRight
Capoten,N/A,Hypertension,Level,Foresters PlanRight
Capoten,N/A,CHF,No Coverage,Foresters PlanRight
Capozide,N/A,Hypertension,Level,Foresters PlanRight
Capozide,N/A,CHF,No Coverage,Foresters PlanRight
Captopril,N/A,Hypertension,Level,Foresters PlanRight
Captopril,N/A,CHF,No Coverage,Foresters PlanRight
Carbamazepine,N/A,Seizures,Level,Foresters PlanRight
Carbamazepine,2 years,Diabetic Neuropathy,Modified,Foresters PlanRight
Carbatrol,N/A,Seizures,Level,Foresters PlanRight
Carbatrol,2 years,Diabetic Neuropathy,Modified,Foresters PlanRight
Carbidopa,N/A,Parkinson’s,Graded,Foresters PlanRight
Carboplatin,3 years,Cancer,Modified,Foresters PlanRight
Carboplatin,Current Use,Cancer,No Coverage,Foresters PlanRight
Cardioplegic,2 years,Circulatory Surgery,Modified,Foresters PlanRight
Cardizem,N/A,Hypertension,Level,Foresters PlanRight
Cardura,N/A,Hypertension,Level,Foresters PlanRight
Carnitor,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Carnitor,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Carnitor,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Cartia,N/A,Hypertension,Level,Foresters PlanRight
Cartrol,N/A,Hypertension,Level,Foresters PlanRight
Cartrol,N/A,CHF,No Coverage,Foresters PlanRight
Carvedilol,N/A,Hypertension,Level,Foresters PlanRight
Carvedilol,N/A,CHF,No Coverage,Foresters PlanRight
Catapress,N/A,Hypertension,Level,Foresters PlanRight
Casodex,3 years,Cancer,Modified,Foresters PlanRight
Casodex,Current Use,Cancer,No Coverage,Foresters PlanRight
CeeNu,3 years,Cancer,Modified,Foresters PlanRight
CeeNu,Current Use,Cancer,No Coverage,Foresters PlanRight
Celebrex,N/A,Arthritis,Level,Foresters PlanRight
Cellcept,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Cerubidine,3 years,Cancer,Modified,Foresters PlanRight
Cerubidine,Current Use,Cancer,No Coverage,Foresters PlanRight
Cesamet,3 years,Cancer,Modified,Foresters PlanRight
Cesamet,Current Use,Cancer,No Coverage,Foresters PlanRight
Chlorambucil,3 years,Cancer,Modified,Foresters PlanRight
Chlorambucil,Current Use,Cancer,No Coverage,Foresters PlanRight
Chlorpromazine,N/A,Psychotic Disorder,Level,Foresters PlanRight
Cisplatin,3 years,Cancer,Modified,Foresters PlanRight
Cisplatin,Current Use,Cancer,No Coverage,Foresters PlanRight
Citalopram,N/A,Depressive Disorder,Level,Foresters PlanRight
Cladribine,3 years,Cancer,Modified,Foresters PlanRight
Cladribine,Current Use,Cancer,No Coverage,Foresters PlanRight
Clolar,3 years,Cancer,Modified,Foresters PlanRight
Clolar,Current Use,Cancer,No Coverage,Foresters PlanRight
Clopidogrel,First Fill <2years,Stroke/TIA/Heart Attack,Modified,Foresters PlanRight
Clopidogrel,First Fill >2 years,Stroke/TIA/Heart Attack,Level,Foresters PlanRight
Cogentin,N/A,Parkinson’s,Graded,Foresters PlanRight
Cogentin,N/A,Other Use,Level,Foresters PlanRight
Cognex,N/A,Alzheimer’s/Dementia,No Coverage,Foresters PlanRight
Combivent,N/A,COPD,Graded,Foresters PlanRight
Combivir,N/A,AIDS,No Coverage,Foresters PlanRight
Complera,N/A,AIDS,No Coverage,Foresters PlanRight
Comtan,N/A,Parkinson’s,Graded,Foresters PlanRight
Copaxone,N/A,Multiple Sclerosis,Level,Foresters PlanRight
Copegus,N/A,Liver Disorder,Graded,Foresters PlanRight
Cordarone,N/A,Arrythmia,Level,Foresters PlanRight
Coreg,N/A,Hypertension,Level,Foresters PlanRight
Coreg,N/A,CHF,No Coverage,Foresters PlanRight
Corgard,N/A,Hypertension,Level,Foresters PlanRight
Corgard,N/A,CHF,No Coverage,Foresters PlanRight
Cosmegen,3 years,Cancer,Modified,Foresters PlanRight
Cosmegen,Current Use,Cancer,No Coverage,Foresters PlanRight
Coumadin,2 years,Cardiac Valve Replacement,Modified,Foresters PlanRight
Coumadin,2 years,TIA/Stroke,Modified,Foresters PlanRight
Coumadin,N/A,Pulmonary Embolism,Level,Foresters PlanRight
Coumadin,N/A,Thrombosis,Level,Foresters PlanRight
Cozaar,N/A,Hypertension,Level,Foresters PlanRight
Cozaar,N/A,CHF,No Coverage,Foresters PlanRight
Crixivan,N/A,AIDS,No Coverage,Foresters PlanRight
Cyclophosphamide,3 years,Cancer,Modified,Foresters PlanRight
Cyclophosphamide,Current Use,Cancer,No Coverage,Foresters PlanRight
Cyclosporine,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Cyclosporine Modified,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Cystagon,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Cystagon,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Cystagon,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Cytarabine,3 years,Cancer,Modified,Foresters PlanRight
Cytarabine,Current Use,Cancer,No Coverage,Foresters PlanRight
Cytogam,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Cytosar-U,3 years,Cancer,Modified,Foresters PlanRight
Cytosar-U,Current Use,Cancer,No Coverage,Foresters PlanRight
Cytovene,N/A,AIDS,No Coverage,Foresters PlanRight
Cytoxan,3 years,Cancer,Modified,Foresters PlanRight
Cytoxan,Current Use,Cancer,No Coverage,Foresters PlanRight
Dacarbazine,3 years,Cancer,Modified,Foresters PlanRight
Dacarbazine,Current Use,Cancer,No Coverage,Foresters PlanRight
Dacogen,3 years,Cancer,Modified,Foresters PlanRight
Dacogen,Current Use,Cancer,No Coverage,Foresters PlanRight
Dactinomycin,3 years,Cancer,Modified,Foresters PlanRight
Dactinomycin,Current Use,Cancer,No Coverage,Foresters PlanRight
Daliresp,N/A,COPD,Graded,Foresters PlanRight
Daunorubicin HCL,3 years,Cancer,Modified,Foresters PlanRight
Daunorubicin HCL,Current Use,Cancer,No Coverage,Foresters PlanRight
Daunoxome,3 years,Cancer,Modified,Foresters PlanRight
Daunoxome,Current Use,Cancer,No Coverage,Foresters PlanRight
Demadex,N/A,Hypertension,Level,Foresters PlanRight
Demadex,N/A,CHF,No Coverage,Foresters PlanRight
Depacon,N/A,Seizures,Level,Foresters PlanRight
Depacon,2 years,Diabetic Neuropathy,Modified,Foresters PlanRight
Depade,2 years,Alcohol / Drugs,Modified,Foresters PlanRight
Depakene,N/A,Seizures,Level,Foresters PlanRight
Depakene,2 years,Diabetic Neuropathy,Modified,Foresters PlanRight
Depakote,N/A,Seizure Disorder,Level,Foresters PlanRight
Depocyt,3 years,Cancer,Modified,Foresters PlanRight
Depocyt,Current Use,Cancer,No Coverage,Foresters PlanRight
Dexrazoxane,3 years,Cancer,Modified,Foresters PlanRight
Dexrazoxane,Current Use,Cancer,No Coverage,Foresters PlanRight
Diabeta,N/A,Diabetes,Level,Foresters PlanRight
Diabeta,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Diabinese,N/A,Diabetes,Level,Foresters PlanRight
Diabinese,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Diazoxide,3 years,Cancer,Modified,Foresters PlanRight
Diazoxide,Current Use,Cancer,No Coverage,Foresters PlanRight
Didanosine,N/A,AIDS,No Coverage,Foresters PlanRight
Digitek,N/A,Atrial Fibrillation,Level,Foresters PlanRight
Digitek,N/A,CHF,No Coverage,Foresters PlanRight
Digoxin,N/A,Atrial Fibrillation,Level,Foresters PlanRight
Digoxin,N/A,CHF,No Coverage,Foresters PlanRight
Dilacor,N/A,Hypertension,Level,Foresters PlanRight
Dilantin,N/A,Seizure Disorder,Level,Foresters PlanRight
Dilatrate SR,2 years,Angina,Modified,Foresters PlanRight
Dilatrate SR,N/A,CHF,No Coverage,Foresters PlanRight
Dilor,N/A,Asthma,Level,Foresters PlanRight
Dilor,N/A,COPD / Emphysema,Graded,Foresters PlanRight
Diltiazem,N/A,Hypertension,Level,Foresters PlanRight
Diovan,N/A,Hypertension,Level,Foresters PlanRight
Diovan,N/A,CHF,No Coverage,Foresters PlanRight
Disulfiram,2 years,Alcohol / Drugs,Modified,Foresters PlanRight
Dolophine,1 year,Opioid Dependence,Modified,Foresters PlanRight
Donepezil HCL,N/A,Alzheimer’s / Dementia,No Coverage,Foresters PlanRight
Doxil,3 years,Cancer,Modified,Foresters PlanRight
Doxil,Current Use,Cancer,No Coverage,Foresters PlanRight
Doxorubicin HCL,3 years,Cancer,Modified,Foresters PlanRight
Doxorubicin HCL,Current Use,Cancer,No Coverage,Foresters PlanRight
Dronabinol,3 years,Cancer,Modified,Foresters PlanRight
Dronabinol,Current Use,Cancer,No Coverage,Foresters PlanRight
DTIC-Dome,3 years,Cancer,Modified,Foresters PlanRight
DTIC-Dome,Current Use,Cancer,No Coverage,Foresters PlanRight
Duoneb,N/A,COPD,Graded,Foresters PlanRight
Dyazide,N/A,Hypertension,Level,Foresters PlanRight
Dyazide,N/A,CHF,No Coverage,Foresters PlanRight
Dynacirc,N/A,Hypertension,Level,Foresters PlanRight
Dyrenium,N/A,Hypertension,Level,Foresters PlanRight
Dyrenium,N/A,CHF,No Coverage,Foresters PlanRight
Edecrin,N/A,Hypertension,Level,Foresters PlanRight
Edecrin,N/A,CHF,No Coverage,Foresters PlanRight
Edurant,N/A,AIDS,No Coverage,Foresters PlanRight
Eldepryl,N/A,Parkinson’s,Graded,Foresters PlanRight
Eligard,3 years,Cancer,Modified,Foresters PlanRight
Eligard,Current Use,Cancer,No Coverage,Foresters PlanRight
Eliphos,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Eliphos,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Eliphos,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Elitek,3 years,Cancer,Modified,Foresters PlanRight
Elitek,Current Use,Cancer,No Coverage,Foresters PlanRight
Ellence,3 years,Cancer,Modified,Foresters PlanRight
Ellence,Current Use,Cancer,No Coverage,Foresters PlanRight
Eloxatin,3 years,Cancer,Modified,Foresters PlanRight
Eloxatin,Current Use,Cancer,No Coverage,Foresters PlanRight
Elspar,3 years,Cancer,Modified,Foresters PlanRight
Elspar,Current Use,Cancer,No Coverage,Foresters PlanRight
Emcyt,3 years,Cancer,Modified,Foresters PlanRight
Emcyt,Current Use,Cancer,No Coverage,Foresters PlanRight
Emend,3 years,Cancer,Modified,Foresters PlanRight
Emend,Current Use,Cancer,No Coverage,Foresters PlanRight
Emtriva,N/A,AIDS,No Coverage,Foresters PlanRight
Enalapril Maleate,N/A,Hypertension,Level,Foresters PlanRight
Enalapril Maleate,N/A,CHF,No Coverage,Foresters PlanRight
Enalaprilat,N/A,Hypertension,Level,Foresters PlanRight
Enalaprilat,N/A,CHF,No Coverage,Foresters PlanRight
Epitol,N/A,Seizures,Level,Foresters PlanRight
Epitol,2 years,Diabetic Neuropathy,Modified,Foresters PlanRight
Epivir,N/A,AIDS,No Coverage,Foresters PlanRight
Epizicom,N/A,AIDS,No Coverage,Foresters PlanRight
Eplerenone,N/A,CHF,No Coverage,Foresters PlanRight
Erbitux,3 years,Cancer,Modified,Foresters PlanRight
Erbitux,Current Use,Cancer,No Coverage,Foresters PlanRight
Ergoloid Mesylates,N/A,Alzheimer’s / Dementia,No Coverage,Foresters PlanRight
Eskalith,N/A,Bipolar Disorder,Level,Foresters PlanRight
Esmolol HCL,N/A,Hypertension,Level,Foresters PlanRight
Esmolol HCL,N/A,CHF,No Coverage,Foresters PlanRight
Estinyl,3 years,Cancer,Modified,Foresters PlanRight
Estinyl,Current Use,Cancer,No Coverage,Foresters PlanRight
Ethyol,3 years,Cancer,Modified,Foresters PlanRight
Ethyol,Current Use,Cancer,No Coverage,Foresters PlanRight
Etopophos,3 years,Cancer,Modified,Foresters PlanRight
Etopophos,Current Use,Cancer,No Coverage,Foresters PlanRight
Etoposide,3 years,Cancer,Modified,Foresters PlanRight
Etoposide,Current Use,Cancer,No Coverage,Foresters PlanRight
Eulexin,3 years,Cancer,Modified,Foresters PlanRight
Eulexin,Current Use,Cancer,No Coverage,Foresters PlanRight
Evista,3 years,Cancer,Modified,Foresters PlanRight
Evista,Current Use,Cancer,No Coverage,Foresters PlanRight
Evista,N/A,Osteoporosis,Level,Foresters PlanRight
Exelon,N/A,Alzheimer’s / Dementia,No Coverage,Foresters PlanRight
Exforge,N/A,Hypertension,Level,Foresters PlanRight
Exforge,N/A,CHF,No Coverage,Foresters PlanRight
Fareston,3 years,Cancer,Modified,Foresters PlanRight
Fareston,Current Use,Cancer,No Coverage,Foresters PlanRight
Farxiga,N/A,Diabetes,Level,Foresters PlanRight
Farxiga,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Faslodex,3 years,Cancer,Modified,Foresters PlanRight
Faslodex,Current Use,Cancer,No Coverage,Foresters PlanRight
Felodipine,N/A,Hypertension,Level,Foresters PlanRight
Femara,First Fill <3years,Cancer,Modified,Foresters PlanRight
Femara,First Fill >3 years,Cancer,Level,Foresters PlanRight
Fentanyl Citrate,3 years,Cancer Pain,Modified,Foresters PlanRight
Fentanyl Citrate,N/A,Severe Pain,Level,Foresters PlanRight
Fentora,3 years,Cancer Pain,Modified,Foresters PlanRight
Fentora,N/A,Severe Pain,Level,Foresters PlanRight
Floxuridine,3 years,Cancer,Modified,Foresters PlanRight
Floxuridine,Current Use,Cancer,No Coverage,Foresters PlanRight
Fludara,3 years,Cancer,Modified,Foresters PlanRight
Fludara,Current Use,Cancer,No Coverage,Foresters PlanRight
Fludarabine Phosphate,3 years,Cancer,Modified,Foresters PlanRight
Fludarabine Phosphate,Current Use,Cancer,No Coverage,Foresters PlanRight
Fluoxymesterone,3 years,Cancer,Modified,Foresters PlanRight
Fluoxymesterone,Current Use,Cancer,No Coverage,Foresters PlanRight
Flutamide,3 years,Cancer,Modified,Foresters PlanRight
Flutamide,Current Use,Cancer,No Coverage,Foresters PlanRight
Folotyn,3 years,Cancer,Modified,Foresters PlanRight
Folotyn,Current Use,Cancer,No Coverage,Foresters PlanRight
Fortamet,N/A,Diabetes,Level,Foresters PlanRight
Fortamet,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Fortovase,N/A,AIDS,No Coverage,Foresters PlanRight
Foscarnet Sodium,N/A,AIDS,No Coverage,Foresters PlanRight
Foscavir,N/A,AIDS,No Coverage,Foresters PlanRight
Fosinopril Sodium,N/A,Hypertension,Level,Foresters PlanRight
Fosinopril Sodium,N/A,CHF,No Coverage,Foresters PlanRight
Fosrenol,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Fosrenol,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Fosrenol,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Fortesta,3 years,Cancer,Modified,Foresters PlanRight
Fortesta,Current Use,Cancer,No Coverage,Foresters PlanRight
FUDR,3 years,Cancer,Modified,Foresters PlanRight
FUDR,Current Use,Cancer,No Coverage,Foresters PlanRight
Furosemide,N/A,Hypertension,Level,Foresters PlanRight
Furosemide,N/A,CHF,No Coverage,Foresters PlanRight
Fusilev,3 years,Cancer,Modified,Foresters PlanRight
Fusilev,Current Use,Cancer,No Coverage,Foresters PlanRight
Fuzeon,N/A,AIDS,No Coverage,Foresters PlanRight
Gabapentin,N/A,Seizures,Level,Foresters PlanRight
Gabapentin,2 years,Diabetic Neuropathy,Modified,Foresters PlanRight
Gabitril,N/A,Seizure Disorder,Level,Foresters PlanRight
Galantamine,N/A,Alzheimer’s / Dementia,No Coverage,Foresters PlanRight
Gallium Nitrate,3 years,Cancer,Modified,Foresters PlanRight
Gallium Nitrate,Current Use,Cancer,No Coverage,Foresters PlanRight
Ganciclovir,N/A,AIDS,No Coverage,Foresters PlanRight
Ganite,3 years,Cancer,Modified,Foresters PlanRight
Ganite,Current Use,Cancer,No Coverage,Foresters PlanRight
Gemzar,3 years,Cancer,Modified,Foresters PlanRight
Gemzar,Current Use,Cancer,No Coverage,Foresters PlanRight
Gengraf,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Gleevec,3 years,Cancer,Modified,Foresters PlanRight
Gleevec,Current Use,Cancer,No Coverage,Foresters PlanRight
Gliadel Wafer,3 years,Cancer,Modified,Foresters PlanRight
Gliadel Wafer,Current Use,Cancer,No Coverage,Foresters PlanRight
Glipizide,N/A,Diabetes,Level,Foresters PlanRight
Glipizide,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Glucophage,N/A,Diabetes,Level,Foresters PlanRight
Glucophage,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Glucotrol,N/A,Diabetes,Level,Foresters PlanRight
Glucotrol,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Glyburide,N/A,Diabetes,Level,Foresters PlanRight
Glyburide,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Glynase,N/A,Diabetes,Level,Foresters PlanRight
Glynase,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Granisetron HCL,3 years,Cancer,Modified,Foresters PlanRight
Granisetron HCL,Current Use,Cancer,No Coverage,Foresters PlanRight
Granisol,3 years,Cancer,Modified,Foresters PlanRight
Granisol,Current Use,Cancer,No Coverage,Foresters PlanRight
Halaven,3 years,Cancer,Modified,Foresters PlanRight
Halaven,Current Use,Cancer,No Coverage,Foresters PlanRight
Haldol,N/A,Psychotic Disorder,Level,Foresters PlanRight
Haloperidol,N/A,Psychotic Disorder,Level,Foresters PlanRight
Halotestin,3 years,Cancer,Modified,Foresters PlanRight
Halotestin,Current Use,Cancer,No Coverage,Foresters PlanRight
HCTZ,N/A,Hypertension,Level,Foresters PlanRight
HCTZ/Triamterene,N/A,Hypertension,Level,Foresters PlanRight
HCTZ/Triamterene,N/A,CHF,No Coverage,Foresters PlanRight
Hectoral,1 year,Kidney Dialysis,No Coverage,Foresters PlanRight
Hectoral,N/A,Kidney Disease/Failure,Graded,Foresters PlanRight
Hectoral,2 years,Diabetic Nephropathy,Modified,Foresters PlanRight
Heparin,N/A,Pulmonary Embolism,Level,Foresters PlanRight
Heparin,N/A,Thrombosis,Level,Foresters PlanRight
Hepsera,N/A,Liver Disorder,Graded,Foresters PlanRight
Herceptin,3 years,Cancer,Modified,Foresters PlanRight
Herceptin,Current Use,Cancer,No Coverage,Foresters PlanRight
Hexalen,3 years,Cancer,Modified,Foresters PlanRight
Hexalen,Current Use,Cancer,No Coverage,Foresters PlanRight
Hivid,N/A,AIDS,No Coverage,Foresters PlanRight
Humalog,N/A,Diabetes,Level,Foresters PlanRight
Humalog,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Humulin,N/A,Diabetes,Level,Foresters PlanRight
Humulin,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Hycamtin,3 years,Cancer,Modified,Foresters PlanRight
Hycamtin,Current Use,Cancer,No Coverage,Foresters PlanRight
Hydralazine HCL,N/A,Hypertension,Level,Foresters PlanRight
Hydralazine HCL,N/A,CHF,No Coverage,Foresters PlanRight
Hydrea,3 years,Cancer,Modified,Foresters PlanRight
Hydrea,Current Use,Cancer,No Coverage,Foresters PlanRight
Hydroxyurea,3 years,Cancer,Modified,Foresters PlanRight
Hydroxyurea,Current Use,Cancer,No Coverage,Foresters PlanRight
Hydergine,N/A,Alzheimer’s /Dementia,No Coverage,Foresters PlanRight
Hydroxychloroquine,N/A,Systemic Lupus,Graded,Foresters PlanRight
Hydroxychloroquine,N/A,Malaria,Level,Foresters PlanRight
Hydroxychloroquine,N/A,Rheumatoid Arthritis,Level,Foresters PlanRight
Hyperstat IV,3 years,Cancer,Modified,Foresters PlanRight
Hyperstat IV,Current Use,Cancer,No Coverage,Foresters PlanRight
Hytrin,N/A,Hypertension,Level,Foresters PlanRight
Hyzaar,N/A,Hypertension,Level,Foresters PlanRight
Hyzaar,N/A,CHF,No Coverage,Foresters PlanRight
Idamycin PFS,3 years,Cancer,Modified,Foresters PlanRight
Idamycin PFS,Current Use,Cancer,No Coverage,Foresters PlanRight
Idarubicin,3 years,Cancer,Modified,Foresters PlanRight
Idarubicin,Current Use,Cancer,No Coverage,Foresters PlanRight
Ifex,3 years,Cancer,Modified,Foresters PlanRight
Ifex,Current Use,Cancer,No Coverage,Foresters PlanRight
Ifex/Mesnex Combo Pack,3 years,Cancer,Modified,Foresters PlanRight
Ifex/Mesnex Combo Pack,Current Use,Cancer,No Coverage,Foresters PlanRight
Ifosfamide,3 years,Cancer,Modified,Foresters PlanRight
Ifosfamide,Current Use,Cancer,No Coverage,Foresters PlanRight
Iletin,N/A,Diabetes,Level,Foresters PlanRight
Iletin,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Imdur,2 years,Angina,Modified,Foresters PlanRight
Imdur,N/A,CHF,No Coverage,Foresters PlanRight
Imuran,N/A,Organ / Tissue Transplant,No Coverage,Foresters PlanRight
Imuran,N/A,Rheumatoid Arthritis,Level,Foresters PlanRight
Imuran,N/A,Systemic Lupus,Graded,Foresters PlanRight
Inamrinone,N/A,CHF,No Coverage,Foresters PlanRight
Inderal,N/A,Hypertension,Level,Foresters PlanRight
Inderal,N/A,CHF,No Coverage,Foresters PlanRight
Inderide,N/A,Hypertension,Level,Foresters PlanRight
Inderide,N/A,CHF,No Coverage,Foresters PlanRight
Infergen,N/A,Liver Disorder,Graded,Foresters PlanRight
Innopran XL,N/A,Hypertension,Level,Foresters PlanRight
Innopran XL,N/A,CHF,No Coverage,Foresters PlanRight
Inspra,N/A,CHF,No Coverage,Foresters PlanRight
Insulin,N/A,Diabetes,Level,Foresters PlanRight
Insulin,2 years,Diabetic Nephropathy/Neuropathy,Modified,Foresters PlanRight
Intelence,N/A,AIDS,No Coverage,Foresters PlanRight
Intron-A,3 years,Cancer,Modified,Foresters PlanRight
Intron-A,Current Use,Cancer,No Coverage,Foresters PlanRight
Intron-A,N/A,Hepatitis C,Graded,Foresters PlanRight
Invirase,N/A,AIDS,No Coverage,Foresters PlanRight
Invokana,N/A,Diabetes,Level,Foresters PlanRight
